UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
144,1/3/18 19:05,1/3/18 19:14,IP Address,100,1774,TRUE,ALL,1/5/18 20:42,R_1oz0CjFRvVeyr4V,anonymous,EN,Female,NR,NR,NR,White,,White,No,N/A,Buddhist,Y,N,Y,"Yes, in addition to other descriptors","Discourse analysis,Language variation",NR,NR,NR,"Corpus methods,Experimental methods",2,N,B,N,Language/Area-specific department (click to receive more options in next question),NA,NA,English,English,NR,NR,NR,,"North America, including the Caribbean",North America,Yes,No,"	Ph.D","	10 - 20 years ago",No,You don't. My position is (please specify),I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,No,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Never,"		Nonnative English speakers,		Skin color",NA,Yes,No,No,Not sure,"		Yes (other)",NR,No,Very good,Very good,NR,gotten better,NA,I don't know/can't say,NA,NR,NR,No,No,"	No",NR,"	Europe","North America, including the Caribbean "
145,1/3/18 19:08,1/3/18 19:24,IP Address,100,469,TRUE,ALL,1/4/18 9:35,R_26aRqzFNdqVD8Ke,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,POC,,Multiracial,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,	First language acquisition,	Morphosyntax,Psychology of Language,Semantics,Syntax,Typology","Formal,Generative",2,G,"Computational methods, Corpus methods,Experimental methods,You don't",4,N,B,N,"Linguistics,Language/Area-specific department (click to receive more options in next question),Modern Languages",NA,NA,English,English,Modern Languages,Language,N,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",Yes,Assistant professor (tenure-track),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,"		Gender,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	,Sexual orientation		",NA,Yes,Not sure,No,Not sure,Not sure,"Joining a department,		Starting a collaboration		,Social events in your department,		Starting a research project,	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Informal meetings",Yes,Fair,Fair,Fair,gotten better,< 5 years,gotten better,< 5 years,gotten better,< 5 years,NR,NR,,NR,NR,NR
146,1/3/18 19:09,1/3/18 21:41,IP Address,67,184,FALSE,NONE,1/20/18 13:45,R_3KvFesyl2kTGSCA,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
147,1/3/18 19:09,1/3/18 19:53,IP Address,3,63,FALSE,NONE,1/26/18 4:45,R_40ydJcECkFK44zT,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
148,1/3/18 19:09,1/3/18 19:13,IP Address,100,1057,TRUE,ALL,1/3/18 17:44,R_2ZBtRpEAPIVUGCt,anonymous,EN,Female,Queer,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"Psychologist, CogSci","Cognitive science,Psychology of Language",Cognitive,1,O,"Computational methods,Experimental methods",2,N,E,N,Psychology,NA,NA,NA,,Psychology,Psych/CogSci,N,,Europe,Europe,Yes,No,"	Ph.D","	5 - 10 years ago",Yes,Assistant professor (tenure-track),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Rarely,Rarely,Rarely,Rarely,Never,Never,"		Gender,		Nonnative English speakers,Particular subfields/other academics	",NA,Yes,No,No,"		No","		No",Other (please specify),Yes,Other (please specify),Good,Good,NR,NR,NR,NR,NR,NR,No,No,"	No",NR,"Asia, including the Pacific Islands","	Europe"
149,1/3/18 19:15,1/3/18 19:29,IP Address,100,2311,TRUE,ALL,2/17/18 16:26,R_DIdJ72hkhVlXg2d,anonymous,EN,Male,Queer,N,Multisexual+Queer,POC,,Asian,Yes,"Mental health / emotional disabilities,Other physical disabilities",Atheist,N,N,N,"Yes, in addition to other descriptors","Documentary and descriptive linguistics,	Language contact,	Language evolution,Language variation,	Linguistic Anthropology,Signed language linguistics,Sociocultural linguistics,Sociolinguistics ,Typology,Writing systems","Cognitive ,Functional,Usage-based",3,F,"Community-engaged research,Ethnographic methods, Field methods, Qualitative methods, Site-based research",5,Y,O,Y,"Linguistics,Language/Area-specific department (click to receive more options in next question),Modern Languages",NA,NA,Middle-East/Near-Eastern languages/studies,NAME,Middle-East/Near-Eastern languages/studies,Language,N,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",Yes,Often,Sometimes,Sometimes,Often,Rarely,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,It is ongoing,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Joining a lab/research group,		Joining a (sub-)discipline	,		Starting a collaboration		,Social events in your department,Academic events in your department (colloquium talks, etc),		Fieldwork/a specific field site,		Starting a research project,Conference/workshop presentation,	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Other social events at a conference/workshop,		Professional organization,		Committee membership,		Informal meetings,		Formal meetings",Yes,Bad,Bad,Bad,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,NA,"	Single","North America, including the Caribbean ","North America, including the Caribbean "
150,1/3/18 19:15,1/3/18 19:22,IP Address,100,947,TRUE,ALL,1/8/18 8:32,R_27dNaDzX2bJa25U,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Christian,Y,N,Y,"Yes, in addition to other descriptors","Applied linguistics,Corpus linguistics,Second language acquisition,You don't. I work in (please specify)",Functional,1,F,Corpus methods,1,N,C,N,Linguistics,NA,NA,NA,,NR,NR,NR,,Europe,Europe,Yes,Yes,"	M.A. / M.S. / M. Ed.","	5 - 10 years ago",No,Teaching professor,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,"Age	,		Gender,		Nationality	,		Religion",NA,Yes,No,Yes,Not sure,"		Yes, I have been excluded (perhaps intentionally)",NR,No,Good,NR,NR,NR,NR,NR,NR,NR,NR,Yes,Yes,Yes,Married,"	Europe","	Europe"
151,1/3/18 19:26,1/3/18 19:42,IP Address,100,887,TRUE,ALL,1/4/18 19:12,R_cMEFKdhFvfDTi01,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,Yes,Blind / limited vision / low vision / partially sighted,Atheist,N,N,N,"Yes, in addition to other descriptors","Corpus linguistics,Documentary and descriptive linguistics,Semantics",Generative,1,G,"Corpus methods, Qualitative methods",2,Y,C,N,"Linguistics,Philosophy",NA,NA,NA,,Q,NA,Q,,Europe,Europe,No,No,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,"	Journalist",I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,No,No,Sometimes,Rarely,Sometimes,Rarely,Never,Never,"		Ethnic groups,		Gender,Race,Sexual orientation		,		Skin color",NA,Yes,No,,Not sure,"		Yes, I have been excluded (perhaps intentionally)","Social events in your department,		Informal meetings",No,Good,Good,Good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,Yes,"	No","	Single","	Europe","	Europe"
152,1/3/18 19:34,1/3/18 19:41,IP Address,100,1079,TRUE,ALL,1/17/18 14:03,R_YaDi0AhXkxScQSt,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Jewish,Y,Y,Y,Psycholinguist,"Cognitive science,Psychology of Language",Cognitive,1,O,Experimental methods,1,N,E,N,"Cognitive Science, Psychology",NA,NA,NA,,Non-Ac,Non-Ac,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,"	Tech industry",I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Never,Never,Never,Sometimes,Never,Never,"		Gender",NA,NA,,,Not sure,"		No",NR,No,Good,Good,Fair,I don't know/can't say,NA,stayed the same,NA,stayed the same,NR,No,No,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
153,1/3/18 19:36,1/3/18 21:48,IP Address,100,584,TRUE,ALL,1/12/18 18:06,R_1MZpjERHW8TpWtg,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Computational linguistics,	Morphology,	Morphosyntax,Neurolinguistics,Psychology of Language,Semantics,Syntax","Cognitive ,Formal,Generative",3,G,"Computational methods, Corpus methods,Experimental methods, Qualitative methods",4,Y,B,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,Yes,Yes,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)",NR,Yes,Good,Good,Good,I don't know/can't say,5-10 years,I don't know/can't say,5-10 years,I don't know/can't say,5-10 years,No,Yes,"	No",Other,"North America, including the Caribbean ","North America, including the Caribbean "
154,1/3/18 19:37,1/3/18 19:46,IP Address,100,631,TRUE,ALL,1/3/18 14:19,R_Q3p9YwSSoA6p5pD,anonymous,EN,Female,Asexual,N,Asexual-Umbrella,POC,,Asian,No,N/A,Spiritual but not religious,Y,N,N,"Yes, in addition to other descriptors","Cognitive science,Cognitive-functional linguistics,Computational linguistics,Neurolinguistics,Psychology of Language,Syntax","Cognitive ,Generative",2,G,Experimental methods,1,N,E,N,"Linguistics, Cognitive Science",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,ABD,NR,No,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,No,No,Sometimes,Rarely,Never,Never,Rarely,Never,"		Nonnative English speakers",NA,Yes,No,No,Not sure,Not sure,Social events in your department,No,Very good,Very good,Very good,stayed the same,< 5 years,stayed the same,< 5 years,stayed the same,< 5 years,No,No,NA,"	Single","Asia, including the Pacific Islands","North America, including the Caribbean "
155,1/3/18 19:41,1/3/18 19:44,IP Address,100,1402,TRUE,ALL,1/4/18 12:42,R_1BQv4rMzuEQ06hM,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Neurolinguistics,Philosophy of Language,Psychology of Language,Semantics",Cognitive,1,O,"Computational methods,Experimental methods",2,N,E,N,"Linguistics, Psychology",NA,NA,NA,,Cognitive Science,Psych/CogSci,N,,Europe,Europe,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,You don't. My position is (please specify),I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Never,Often,Sometimes,Sometimes,"Age	,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,No,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Starting a collaboration		,Social events in your department,		Fieldwork/a specific field site,		Starting a research project,		Informal meetings,		Formal meetings",Yes,Bad,Bad,Bad,gotten better,10-20 years,gotten better,10-20 years,gotten better,5-10 years,No,Yes,"	No","	Single","	Europe","	Europe"
156,1/3/18 19:42,1/3/18 20:02,IP Address,100,1145,TRUE,ALL,1/6/18 2:53,R_3NxrnWsYfkRGJOH,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,POC,,Multiracial,No,N/A,Muslim,Y,N,Y,"Yes, solely","Applied linguistics,Discourse analysis,Educational linguistics,Writing systems","Functional,Structuralist,Usage-based",3,F,Qualitative methods,1,Y,O,N,"Linguistics,Applied Linguistics,Education",NA,NA,NA,,Applied Linguistics,Interdisciplinary,Y,,Africa,Other,No,No,"	Ph.D",Within the past 5 years,Yes,Assistant professor (tenure-track),I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Often,Rarely,Sometimes,Often,Rarely,Rarely,"		Nonnative English speakers",NA,No,,No,"		No","		No",Joining a department,No,Good,Very good,Good,gotten better,5-10 years,gotten better,5-10 years,gotten better,5-10 years,Yes,Yes,"	No; it was not available",Married,Africa,"Asia, including the Pacific Islands"
157,1/3/18 19:44,1/3/18 20:35,IP Address,4,32,FALSE,NONE,1/30/18 11:53,R_cGwsU72rTkKmexX,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
158,1/3/18 19:48,1/3/18 20:00,IP Address,61,7922,FALSE,Bias,1/17/18 21:48,R_3nckq9WIcytOWrQ,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Agnostic,Atheist,Jewish",N,N,N,No,"Cognitive science,Psychology of Language,Second language acquisition",Cognitive,1,O,Experimental methods,1,N,E,N,"Psychology,Other (please specify)",NA,also affiliated with program in linguistics (not a department though),NA,,Psychology,Psych/CogSci,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	10 - 20 years ago",Yes,Full professor,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Never,Rarely,Rarely,Never,Never,"		Gender,		Nationality	",NA,NA,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
159,1/3/18 19:49,1/3/18 19:59,IP Address,100,1842,TRUE,ALL,1/6/18 11:42,R_1LpOh3PHX5LUfTe,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,You don't,Y,N,N,"Yes, in addition to other descriptors","Documentary and descriptive linguistics,Language variation,Sociocultural linguistics,Sociolinguistics ",Usage-based,1,O,"Community-engaged research,Ethnographic methods,Experimental methods, Field methods, Qualitative methods",5,Y,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.","	5 - 10 years ago",No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,"Age	,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,Particular subfields/other academics	,		Religion,Sexual orientation		",NA,Yes,Yes,No,"		No","		No","Social events in your department,		Fieldwork/a specific field site",Yes,Fair,Good,Good,gotten better,5-10 years,stayed the same,5-10 years,I don't know/can't say,5-10 years,No,Yes,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
160,1/3/18 19:49,1/4/18 20:27,IP Address,84,323202,FALSE,ALL,1/21/18 8:25,R_2aCOV3HmZ1CjqCq,anonymous,EN,Female,Asexual,N,Asexual-Umbrella,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Documentary and descriptive linguistics,Gesture studies,Signed language linguistics","Functional,Usage-based",2,F,"Experimental methods, Field methods, Qualitative methods",3,Y,E,Y,Linguistics,NA,NA,NA,,Q,NA,Q,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Never,Never,Sometimes,Rarely,Never,"		(Dis)ability status,		Other language groups",NA,Yes,No,,Not sure,"		No",Other (please specify),Yes,Good,Very good,NR,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,NR,NR,,NR,NR,NR
161,1/3/18 20:00,1/3/18 20:01,IP Address,46,8627,FALSE,LingDemo,1/20/18 13:32,R_r9zB83hsGxzMTXH,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Christian,Y,N,Y,"Yes, in addition to other descriptors","Discourse analysis,Documentary and descriptive linguistics,	Morphology,	Morphosyntax,	Pragmatics,Semantics,Syntax,Typology",Functional,1,F,"Community-engaged research,Ethnographic methods, Field methods, Site-based research",4,N,O,Y,Linguistics,NA,NA,NA,,Q,NA,Q,,Europe,Europe,Yes,No,"	M.A. / M.S. / M. Ed.",Within the past 5 years,Yes,You don't. My position is (please specify),I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
162,1/3/18 20:05,1/3/18 20:07,IP Address,100,3205,TRUE,ALL,1/4/18 13:22,R_qRbJeIOliQGh333,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,M,Jewish,Yes,"Mental health / emotional disabilities,Would you like to be more specific?","Agnostic,Spiritual but not religious",Y,N,N,"Yes, in addition to other descriptors","	Linguistic Anthropology,Sociocultural linguistics",Usage-based,1,O,"Ethnographic methods, Qualitative methods",2,Y,O,Y,Anthropology,NA,NA,NA,,Anthropology,Anthropology,N,,"Asia, including the Pacific Islands",Other,No,No,"	Ph.D",Within the past 5 years,No,You don't. My position is (please specify),I have never worked in a lab-based research group,I currently do fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Often,Often,Sometimes,Rarely,"		Ethnic groups,		Gender,		Nationality	,		Religion,Sexual orientation		",NA,Yes,No,It is ongoing,Not sure,Not sure,"		Informal meetings",Yes,Fair,Fair,Fair,stayed the same,10-20 years,stayed the same,10-20 years,stayed the same,10-20 years,No,No,"	No",Married,"North America, including the Caribbean ","Asia, including the Pacific Islands"
163,1/3/18 20:06,1/3/18 20:06,IP Address,21,176,FALSE,LingDemo,1/18/18 14:37,R_Pza1W6autXU4USJ,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,Yes,You don't,Jewish,Y,Y,Y,No,"Cognitive science,Second language acquisition,Semantics",Cognitive,1,O,"Computational methods,Experimental methods",2,N,E,N,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
164,1/3/18 20:21,1/3/18 20:29,IP Address,100,2917,TRUE,ALL,1/6/18 17:52,R_3HIxmQBd4opq9Jy,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Multiracial,No,N/A,Atheist,N,N,N,Psychologist,"Cognitive science,	Pragmatics,Psychology of Language,Semantics,You don't. I work in (please specify)",Cognitive,1,O,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,Cognitive Science,NA,NA,NA,,Cognitive Science,Psych/CogSci,N,,"North America, including the Caribbean",North America,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,"		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	,Race",NA,Yes,No,No,Not sure,"		Yes, I have been excluded (perhaps intentionally)","Joining a department,		Joining a lab/research group",Yes,Other (please specify),Bad,Fair,I don't know/can't say,NA,stayed the same,5-10 years,stayed the same,5-10 years,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
165,1/3/18 20:29,1/3/18 20:38,IP Address,100,1255,TRUE,ALL,1/19/18 9:47,R_cGhDLckIYoDqhix,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,African,No,N/A,"Agnostic,Catholic",Y,N,N,"Yes, solely","Corpus linguistics,Discourse analysis,Documentary and descriptive linguistics,Gesture studies,Historical linguistics,	Language contact,Language variation,	Morphosyntax,	Pragmatics,Semantics,Signed language linguistics,Sociolinguistics ,Syntax",Generative,1,G,"Corpus methods, Field methods, Qualitative methods",3,Y,C,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,"	Yes",Yes,Sometimes,Rarely,Sometimes,Often,Rarely,Never,"		Gender,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,		Skin color",NA,Yes,No,No,"		No","		No",NR,No,Fair,Good,Good,NR,NR,gotten better,> 30 years,NR,NR,No,Yes,NA,Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
166,1/3/18 20:30,1/3/18 20:36,IP Address,100,3095,TRUE,ALL,1/9/18 15:06,R_sOvNVErXpOwjxkt,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,Yes,Mental health / emotional disabilities,Christian,Y,N,Y,"Yes, in addition to other descriptors","Cognitive science,Cognitive-functional linguistics,Computational linguistics,Psychology of Language,Semantics,Syntax","Cognitive ,Functional,Usage-based",3,F,"Computational methods, Corpus methods,Experimental methods, Qualitative methods",4,Y,B,N,"Linguistics, Cognitive Science",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,You don't. My position is (please specify),I have in the past worked in a lab-based research group,I have in the past done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,"		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,No,"		Yes (other)","Yes, I have been intentionally excluded ","		Joining a lab/research group,		Starting a collaboration		,		Starting a research project,		Other social events at a conference/workshop,		Informal meetings",Yes,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,Yes,Yes,"	No; it was not available",Married,"North America, including the Caribbean ","North America, including the Caribbean "
167,1/3/18 20:46,1/3/18 20:53,IP Address,100,1731,TRUE,ALL,1/11/18 14:24,R_1jQhYXVoLZpp3oJ,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Jewish,Y,Y,Y,"Yes, solely","Cognitive science,Computational linguistics,Phonetics,Phonology","Cognitive ,Formal,Generative",3,G,"Computational methods,Experimental methods, Field methods",3,N,E,Y,"Linguistics, Cognitive Science",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Never,Rarely,Sometimes,Rarely,Never,"		Gender,Particular subfields/other academics	",NA,Yes,No,No,"		No","		No","Social events in your department,		Informal meetings",No,Fair,Good,Good,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
168,1/3/18 20:49,1/3/18 20:58,IP Address,100,707,TRUE,ALL,1/12/18 0:21,R_29uCwIadflcfDWu,anonymous,EN,Female,Asexual,N,Asexual-Umbrella,POC,,Asian,No,N/A,Spiritual but not religious,Y,N,N,"Yes, solely","Cognitive science,Computational linguistics,Psychology of Language,Syntax",You don't,1,O,"Computational methods,Experimental methods",2,N,E,N,"Linguistics, Cognitive Science",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,No,No,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,"Age	,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Skin color",NA,NA,,,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Joining a lab/research group,		Joining a (sub-)discipline	,		Starting a collaboration		,		Starting a research project",No,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No",Domestic partner/Long-term relationship,"Asia, including the Pacific Islands","North America, including the Caribbean "
